id,course_1,course_2,fall_courses_count,is_first_place,is_last_place
1ac8c3290d194ea958a120a9546b449cb6a98272011a6743f840f1d96ffe4a5f,Системы баз данных,-,1,,
426626974aae5c7dacd85010d8c3482f00dd6c02166267853651d9e9f1ef65dc,???,-,1,,
4a141e4a205ee2ddc30e3ee757d3ef48ed2090240980e4f7df8c43cfaf3bb1bd,Глубинное обучение в обработке звука,Глубинное обучение для текстовых данных,2,,
80b96b834083449c04429bdf8050e865c19a57edf4303274cab943470caff4b0,Введение в платформы данных,-,1,,
e20c5034a8aede3f14a5515ad979395d19ee79a32ce5f823329707ccb5964bfd,Основы информационного поиска,-,1,,
537289baa993102592a23c985703df0a862e830792a7511d86efc8954d6321cf,Основы разработки компьютерных игр,-,1,,
f62a9863d858bacaabcde1d51c46d9bc08079d2f463fc2bfa7c30d65a696e2a6,Statistical Learning Theory,-,1,,
f3850b3aa2c8c622ee28bb6368a9b8c2f78acbdef113a894fb1aff60837428f0,Генеративные модели на основе диффузии,Байесовские методы в машинном обучении,2,true,
a3e86bfe99588ed690f8a756b2be7b4575552b4056f6a62a738bfdba62853543,???,-,1,,
f4aaecf4df07eb258c398ed9b41ae26f334eca0b49491273d46c1b5a50013e42,Дизайн систем,-,1,,
3dfdd5063aed7b034c0f7b5ffbec75b61041d532382a4a2325ba4d41ea45e7a7,Типы в языках программирования,-,1,,
11daff8d676cc1cd424d403804ff0b44caa6b22e3d56f8ebe13378eac19d2805,Прикладная статистика в машинном обучении,-,1,,
2ddd9e8f1d4a21f9612b2ac8cc25edb9504895a81186a7c4facc65684f4ca7c6,Дизайн систем,-,1,,
e4af61a6a57e0544d5b9bbf9572cd747b83067800f64c72ba2c67b72c6572678,Основы информационного поиска,-,1,,
8c11e8ef8b66dd5fedd053d29f6d89756d23b2d6e5e3aa47854f1dde5338d5f5,Self-supervised Learning,Глубинное обучение в анализе графовых данных,2,,
0371f1e9746b55e981d200dbc94929d95e6629295cbe43cace648d4ef7782ca9,Распределенные системы,-,1,,
d74f04744d4eb4e2d3e3d01d65766ad359e2b966c9eda56f037d65e8d3a74a7d,???,-,1,,
82abdfc59476a9e9b3acf5dcc0525df2fe767a0d4440fa8fd451b078dc2f5009,Системы баз данных,-,1,,
5f994b498fda5455f167711c5c18d085977298f6dba1a2fb8bbdc552dc47fc9f,Системы баз данных,-,1,,
69ea954d938dbd9cace5b482463a6636b61fb0765425321e71d68e63512f7913,Безопасность компьютерных систем,-,1,,
a8b05a6e0b2cfe14d3f43dccbbb2104451380d4c310c81f460f7e6fd0a40280e,Системы баз данных,-,1,,
acdad537768c8b12ec74c3a7a6f499ae17040d92651d35db4da6f54de484fe30,Распределенные системы,-,1,,
37f6b56548d3fceb6c130904740eccb3b5dc0d0496aa0db69768727d7ad2dddd,Байесовские методы в машинном обучении,Дизайн систем,2,,
89e265f063d96145e7aa55b7e94fa48be2bafd9c51a43a898c885ed7f9c732e1,Дизайн систем,-,1,,
640ce90ffece36db39846f264509e9276947ba7282edcad81c546e2793ade76a,Statistical Learning Theory,-,1,,
5810d568aa82457b712d0980115e37f90c49d751677e212ccba6f0573fdaec9c,Язык SQL,-,1,,
70b814cd0904633fdb88bd6e383a9f0ff8120c13b9c08709d196d78eba1664ae,???,-,1,,
5d0e8207e3f62f1b9da9415e276c2e1c77a9f9e756af7d13657addda49a37eab,Язык SQL,-,1,,
58c1bacf818ea1a64cf682af456bbee27f4feb4640cf6e9f12b32849a5ac9f42,Глубинное обучение в обработке звука,Введение в платформы данных,2,,
48ce59e550c02c08e908adddc105fba3f3bd3104f8893bd9569fe1485d7fd830,Основы тензорных вычислений,-,1,,true
f883d3524259c01a9f7bd0e68fef7d2536ce765544b268e165b771369291c5b2,Операционные системы 2,-,1,,
a5e9179d753e87b55c19f19c43d9c74dfd6ddfb04253eb0379c9bb543b3164b7,Введение в платформы данных,-,1,,
8f0b264574b479dca95c4ea89a103d754e4a5557f9e71652afa6aeb29002d5cf,Глубинное обучение для текстовых данных,-,1,,
e1d3bfb389fd93e4b3a245aad1a3598964169eb04ad179f5ef5a9d13ec94b65a,???,-,1,,
43356e961c7491ef55887c470a7d1fcb69e62000fdf6603a9a62f4e016325410,Прикладная статистика в машинном обучении,-,1,true,
